raceId;year;round;circuitId;name;date;time
434;1985;15;30;South African Grand Prix;19.10.85;X
435;1985;16;29;Australian Grand Prix;03.11.85;X
436;1984;1;36;Brazilian Grand Prix;25.03.84;X
437;1984;2;30;South African Grand Prix;07.04.84;X
438;1984;3;40;Belgian Grand Prix;29.04.84;X
439;1984;4;21;San Marino Grand Prix;06.05.84;X
440;1984;5;41;French Grand Prix;20.05.84;X
441;1984;6;6;Monaco Grand Prix;03.06.84;X
442;1984;7;7;Canadian Grand Prix;17.06.84;X
443;1984;8;37;Detroit Grand Prix;24.06.84;X
444;1984;9;42;Dallas Grand Prix;08.07.84;X
445;1984;10;38;British Grand Prix;22.07.84;X
446;1984;11;10;German Grand Prix;05.08.84;X
447;1984;12;23;Austrian Grand Prix;19.08.84;X
448;1984;13;39;Dutch Grand Prix;26.08.84;X
449;1984;14;14;Italian Grand Prix;09.09.84;X
450;1984;15;20;European Grand Prix;07.10.84;X
451;1984;16;27;Portuguese Grand Prix;21.10.84;X
452;1983;1;36;Brazilian Grand Prix;13.03.83;X
453;1983;2;43;United States Grand Prix West;27.03.83;X
454;1983;3;34;French Grand Prix;17.04.83;X
455;1983;4;21;San Marino Grand Prix;01.05.83;X
456;1983;5;6;Monaco Grand Prix;15.05.83;X
457;1983;6;13;Belgian Grand Prix;22.05.83;X
458;1983;7;37;Detroit Grand Prix;05.06.83;X
459;1983;8;7;Canadian Grand Prix;12.06.83;X
460;1983;9;9;British Grand Prix;16.07.83;X
461;1983;10;10;German Grand Prix;07.08.83;X
462;1983;11;23;Austrian Grand Prix;14.08.83;X
463;1983;12;39;Dutch Grand Prix;28.08.83;X
464;1983;13;14;Italian Grand Prix;11.09.83;X
465;1983;14;38;European Grand Prix;25.09.83;X
466;1983;15;30;South African Grand Prix;15.10.83;X
467;1982;1;30;South African Grand Prix;23.01.82;X
468;1982;2;36;Brazilian Grand Prix;21.03.82;X
469;1982;3;43;United States Grand Prix West;04.04.82;X
470;1982;4;21;San Marino Grand Prix;25.04.82;X
